,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,preds,outcome
184,LP002042,1,1,2,Graduate,1,4000,3917,173,360,1,Rural,Y,0
185,LP002045,2,1,4,Graduate,1,10166,750,150,360,1,Urban,Y,0
186,LP002046,2,1,1,Not Graduate,1,4483,0,135,360,1,Semiurban,Y,0
187,LP002047,2,1,3,Not Graduate,1,4521,1184,150,360,1,Semiurban,Y,0
188,LP002056,2,1,3,Graduate,1,9167,0,235,360,1,Semiurban,Y,0
189,LP002057,2,1,1,Not Graduate,1,13083,0,125,360,1,Rural,N,0
190,LP002059,2,1,3,Graduate,1,7874,3967,336,360,1,Rural,Y,0
191,LP002062,1,1,2,Graduate,1,4333,0,132,84,1,Rural,Y,0
192,LP002064,2,2,1,Graduate,1,4083,0,96,360,1,Urban,Y,0
193,LP002069,2,1,3,Not Graduate,1,3785,2912,180,360,0,Rural,N,0
194,LP002070,2,1,4,Not Graduate,1,2654,1998,128,360,0,Rural,N,0
195,LP002077,2,1,2,Graduate,1,10000,2690,412,360,1,Semiurban,Y,0
196,LP002083,2,2,1,Graduate,2,5833,0,116,360,1,Urban,Y,0
197,LP002090,2,1,2,Graduate,1,4796,0,114,360,0,Semiurban,N,0
198,LP002096,2,1,1,Not Graduate,1,2000,1600,115,360,1,Rural,Y,0
199,LP002099,2,1,3,Graduate,1,2540,700,104,360,0,Urban,N,0
200,LP002102,2,1,1,Graduate,2,1900,1442,88,360,1,Rural,Y,0
201,LP002105,2,1,1,Graduate,2,8706,0,108,480,1,Rural,N,0
202,LP002107,2,1,4,Not Graduate,1,2855,542,90,360,1,Urban,Y,0
203,LP002111,2,1,0,Graduate,1,3016,1300,100,360,1,Urban,Y,0
204,LP002117,1,1,1,Graduate,1,3159,2374,108,360,1,Semiurban,Y,0
205,LP002118,1,2,1,Graduate,1,1937,1152,78,360,1,Semiurban,Y,0
206,LP002123,2,1,1,Graduate,1,2613,2417,123,360,1,Semiurban,Y,0
207,LP002125,2,1,2,Graduate,1,4960,2600,187,360,1,Semiurban,Y,0
208,LP002148,2,1,2,Graduate,1,3074,1083,146,360,1,Semiurban,Y,0
209,LP002152,1,2,1,Graduate,1,4213,0,80,360,1,Urban,Y,0
210,LP002165,2,2,2,Not Graduate,1,2038,4027,100,360,1,Rural,Y,0
211,LP002167,1,2,1,Graduate,1,2362,0,55,360,1,Urban,Y,0
212,LP002168,2,2,1,Graduate,1,5333,2400,200,360,0,Rural,N,0
213,LP002172,2,1,4,Graduate,2,5384,0,150,360,1,Semiurban,Y,0
214,LP002176,2,2,1,Graduate,1,5708,0,150,360,1,Rural,Y,0
215,LP002183,2,1,1,Not Graduate,1,3754,3719,118,360,1,Rural,Y,0
216,LP002184,2,1,1,Not Graduate,1,2914,2130,150,300,1,Urban,Y,0
217,LP002186,2,1,1,Not Graduate,1,2747,2458,118,36,1,Semiurban,Y,0
218,LP002192,2,1,1,Graduate,1,7830,2183,212,360,1,Rural,Y,0
219,LP002195,2,1,2,Graduate,2,3507,3148,212,360,1,Rural,Y,0
220,LP002208,2,1,2,Graduate,1,3747,2139,125,360,1,Urban,Y,0
221,LP002212,2,1,1,Graduate,1,2166,2166,108,360,1,Urban,Y,0
222,LP002240,2,1,1,Not Graduate,1,3500,2168,149,360,1,Rural,Y,0
223,LP002245,2,1,3,Not Graduate,1,2896,0,80,480,1,Urban,N,0
224,LP002253,1,2,2,Graduate,1,5062,0,152,300,1,Rural,Y,0
225,LP002256,1,2,3,Graduate,2,5184,0,187,360,0,Semiurban,N,0
226,LP002257,1,2,1,Graduate,1,2545,0,74,360,1,Urban,Y,0
227,LP002264,2,1,1,Graduate,1,2553,1768,102,360,1,Urban,Y,0
228,LP002270,2,1,2,Graduate,1,3436,3809,100,360,1,Rural,Y,0
229,LP002279,2,2,1,Graduate,1,2412,2755,130,360,1,Rural,Y,0
230,LP002286,2,1,4,Not Graduate,1,5180,0,125,360,0,Urban,N,0
231,LP002294,2,2,1,Graduate,1,14911,14507,130,360,1,Semiurban,Y,0
232,LP002298,2,2,1,Graduate,2,2860,2988,138,360,1,Urban,Y,0
233,LP002306,2,1,1,Graduate,1,1173,1594,28,180,1,Rural,Y,0
234,LP002310,1,2,2,Graduate,1,7600,0,92,360,1,Semiurban,Y,0
235,LP002311,1,1,1,Graduate,1,2157,1788,104,360,1,Urban,Y,0
236,LP002316,2,2,1,Graduate,1,2231,2774,176,360,0,Urban,N,0
237,LP002321,1,2,1,Graduate,1,2274,5211,117,360,0,Semiurban,N,0
238,LP002325,2,1,3,Not Graduate,1,6166,13983,102,360,1,Rural,Y,0
239,LP002326,2,1,3,Not Graduate,1,2513,1110,107,360,1,Semiurban,Y,0
240,LP002329,2,2,1,Graduate,1,4333,0,66,480,1,Urban,N,0
241,LP002333,2,2,1,Not Graduate,1,3844,0,105,360,1,Urban,Y,0
242,LP002339,2,1,1,Graduate,1,3887,1517,105,360,0,Semiurban,N,0
243,LP002344,2,1,1,Graduate,1,3510,828,105,360,1,Semiurban,Y,0
244,LP002346,2,1,1,Graduate,1,2539,1704,125,360,0,Rural,N,0
245,LP002354,1,2,1,Not Graduate,1,2107,0,64,360,1,Semiurban,Y,0
246,LP002355,2,1,1,Graduate,1,3186,3145,150,180,0,Semiurban,N,0
247,LP002358,2,1,3,Graduate,2,5000,2166,150,360,1,Urban,Y,0
248,LP002360,2,1,0,Graduate,1,10000,0,125,360,1,Urban,Y,0
249,LP002375,2,1,1,Not Graduate,2,3943,0,64,360,1,Semiurban,Y,0
250,LP002376,2,2,1,Graduate,1,2925,0,40,180,1,Rural,Y,0
251,LP002383,2,1,4,Graduate,1,3242,437,142,480,0,Urban,N,0
252,LP002385,2,1,0,Graduate,1,3863,0,70,300,1,Semiurban,Y,0
253,LP002389,1,2,2,Graduate,1,4028,0,131,360,1,Semiurban,Y,0
254,LP002394,2,1,3,Graduate,1,4010,1025,120,360,1,Urban,Y,0
255,LP002397,1,1,2,Graduate,1,3719,1585,114,360,1,Urban,Y,0
256,LP002399,2,2,1,Graduate,1,2858,0,123,360,0,Rural,N,0
257,LP002400,1,1,1,Graduate,1,3833,0,92,360,1,Rural,Y,0
258,LP002402,2,1,1,Graduate,1,3333,4288,160,360,1,Urban,Y,0
259,LP002412,2,1,1,Graduate,1,3007,3725,151,360,1,Rural,Y,0
260,LP002415,1,2,2,Graduate,1,1850,4583,81,360,1,Rural,Y,0
261,LP002417,2,1,4,Not Graduate,1,2792,2619,171,360,1,Semiurban,Y,0
262,LP002420,2,1,1,Graduate,1,2982,1550,110,360,1,Semiurban,Y,0
263,LP002425,2,2,1,Graduate,1,3417,738,100,360,1,Rural,Y,0
264,LP002433,2,1,2,Graduate,1,18840,0,234,360,1,Rural,N,0
265,LP002440,2,1,3,Graduate,1,2995,1120,184,360,1,Rural,Y,0
266,LP002441,2,2,0,Graduate,1,3579,3308,138,360,1,Semiurban,Y,0
267,LP002442,1,1,2,Not Graduate,1,3835,1400,112,480,0,Urban,N,0
268,LP002445,1,2,2,Not Graduate,1,3854,3575,117,360,1,Rural,Y,0
269,LP002450,2,1,3,Graduate,1,5833,750,49,360,0,Rural,N,0
270,LP002471,2,2,1,Graduate,1,3508,0,99,360,1,Rural,Y,0
271,LP002476,1,1,4,Not Graduate,1,1635,2444,99,360,1,Urban,Y,0
272,LP002482,1,2,1,Graduate,2,3333,3916,212,360,1,Rural,Y,0
273,LP002485,2,2,2,Graduate,1,24797,0,240,360,1,Semiurban,Y,0
274,LP002495,2,1,3,Graduate,1,5667,440,130,360,0,Semiurban,N,0
275,LP002496,1,2,1,Graduate,1,3500,0,94,360,0,Semiurban,N,0
276,LP002523,2,1,4,Graduate,1,2773,1497,108,360,1,Semiurban,Y,0
277,LP002542,2,1,1,Graduate,1,6500,0,144,360,1,Urban,Y,0
278,LP002550,1,2,1,Graduate,1,5769,0,110,180,1,Semiurban,Y,0
279,LP002551,2,1,4,Not Graduate,1,3634,910,176,360,0,Semiurban,N,0
280,LP002553,2,2,1,Graduate,1,29167,0,185,360,1,Semiurban,Y,0
281,LP002554,2,2,1,Graduate,1,2166,2057,122,360,1,Semiurban,Y,0
282,LP002561,2,1,1,Graduate,1,5000,0,126,360,1,Rural,Y,0
283,LP002566,1,2,1,Graduate,1,5530,0,135,360,1,Urban,Y,0
284,LP002568,2,2,1,Not Graduate,1,9000,0,122,360,1,Rural,Y,0
285,LP002570,1,1,3,Graduate,1,10000,11666,460,360,1,Urban,N,0
286,LP002572,2,1,2,Graduate,1,8750,0,297,360,1,Urban,Y,0
287,LP002581,2,1,1,Not Graduate,1,2157,2730,140,360,1,Rural,Y,0
288,LP002584,2,2,1,Graduate,1,1972,4347,106,360,1,Rural,Y,0
289,LP002592,2,2,1,Graduate,1,4983,0,141,360,1,Urban,Y,0
290,LP002593,2,1,2,Graduate,1,8333,4000,125,360,1,Urban,Y,0
291,LP002599,2,1,1,Graduate,1,3667,2000,170,360,1,Semiurban,Y,0
292,LP002604,2,1,3,Graduate,1,3166,2833,145,360,1,Urban,Y,0
293,LP002605,2,2,1,Not Graduate,1,3271,0,90,360,1,Rural,Y,0
294,LP002609,1,1,1,Graduate,1,2241,2000,88,360,0,Urban,N,0
295,LP002610,2,1,2,Not Graduate,1,1792,2565,128,360,1,Urban,Y,0
296,LP002612,1,1,1,Graduate,1,2666,0,84,480,1,Semiurban,N,0
297,LP002614,2,2,1,Graduate,1,6478,0,108,360,1,Semiurban,Y,0
298,LP002630,2,2,1,Not Graduate,1,3808,0,83,360,1,Rural,Y,0
299,LP002635,1,1,3,Not Graduate,1,3729,0,117,360,1,Semiurban,Y,0
300,LP002639,2,1,3,Graduate,1,4120,0,128,360,1,Rural,Y,0
301,LP002644,2,1,2,Graduate,2,7500,0,75,360,1,Urban,Y,0
302,LP002651,2,1,2,Graduate,1,6300,0,125,360,0,Urban,N,0
303,LP002654,1,2,0,Graduate,2,14987,0,177,360,1,Rural,Y,0
304,LP002657,2,1,2,Not Graduate,2,570,2125,68,360,1,Rural,Y,0
305,LP002711,2,1,1,Graduate,1,2600,700,96,360,1,Semiurban,Y,0
306,LP002712,2,2,3,Not Graduate,1,2733,1083,180,360,1,Semiurban,Y,0
307,LP002721,2,1,3,Graduate,2,7500,0,183,360,1,Rural,Y,0
308,LP002735,2,1,3,Not Graduate,1,3859,0,121,360,1,Rural,Y,0
309,LP002744,2,1,2,Graduate,1,6825,0,162,360,1,Rural,Y,0
310,LP002745,2,1,1,Graduate,1,3708,4700,132,360,1,Semiurban,Y,0
311,LP002746,2,2,1,Graduate,1,5314,0,147,360,1,Urban,Y,0
312,LP002747,1,2,4,Graduate,1,2366,5272,153,360,0,Rural,N,0
313,LP002754,2,2,0,Graduate,1,2066,2108,104,84,1,Urban,Y,0
314,LP002759,2,1,3,Graduate,1,5000,0,149,360,1,Rural,Y,0
315,LP002760,1,2,1,Graduate,1,3767,0,134,300,1,Urban,Y,0
316,LP002766,1,1,1,Graduate,1,7859,879,165,180,1,Semiurban,Y,0
317,LP002769,1,1,1,Graduate,1,4283,0,120,360,1,Rural,Y,0
318,LP002774,2,1,1,Not Graduate,1,1700,2900,67,360,0,Urban,N,0
319,LP002775,2,2,1,Not Graduate,1,4768,0,125,360,1,Rural,Y,0
320,LP002781,2,2,1,Graduate,1,3083,2738,120,360,1,Urban,Y,0
321,LP002782,2,1,2,Graduate,1,2667,1542,148,360,1,Rural,Y,0
322,LP002786,1,1,1,Not Graduate,1,1647,1762,181,360,1,Urban,Y,0
323,LP002790,2,1,4,Graduate,1,3400,0,80,120,1,Urban,Y,0
324,LP002791,2,2,2,Graduate,1,16000,5000,40,360,1,Semiurban,Y,0
325,LP002793,2,1,1,Graduate,1,5333,0,90,360,1,Rural,Y,0
326,LP002802,2,2,1,Graduate,1,2875,2416,95,6,0,Semiurban,N,0
327,LP002803,2,1,2,Not Graduate,1,2600,618,122,360,1,Semiurban,Y,0
328,LP002805,2,1,3,Graduate,1,5041,700,150,360,1,Urban,Y,0
329,LP002806,2,1,4,Graduate,2,6958,1411,150,360,1,Rural,Y,0
330,LP002816,2,1,2,Graduate,1,3500,1658,104,360,1,Semiurban,Y,0
331,LP002823,2,1,1,Graduate,1,5509,0,143,360,1,Rural,Y,0
332,LP002825,2,1,4,Graduate,1,9699,0,300,360,1,Urban,Y,0
333,LP002826,1,1,2,Not Graduate,1,3621,2717,171,360,1,Urban,Y,0
334,LP002843,1,1,1,Graduate,1,4709,0,113,360,1,Semiurban,Y,0
335,LP002849,2,1,1,Graduate,1,1516,1951,35,360,1,Semiurban,Y,0
336,LP002850,2,2,3,Graduate,1,2400,0,46,360,1,Urban,Y,0
337,LP002853,1,2,1,Not Graduate,1,3015,2000,145,360,1,Urban,Y,0
338,LP002856,2,1,1,Graduate,1,2292,1558,119,360,1,Urban,Y,0
339,LP002857,2,1,2,Graduate,2,2360,3355,87,240,1,Rural,Y,0
340,LP002858,1,2,1,Graduate,1,4333,2333,162,360,0,Rural,N,0
341,LP002860,2,1,1,Graduate,2,2623,4831,122,180,1,Semiurban,Y,0
342,LP002867,2,2,1,Graduate,2,3972,4275,187,360,1,Rural,Y,0
343,LP002869,2,1,4,Not Graduate,1,3522,0,81,180,1,Rural,N,0
344,LP002870,2,1,2,Graduate,1,4700,0,80,360,1,Urban,N,0
345,LP002876,2,2,1,Graduate,1,6858,0,176,360,1,Rural,Y,0
346,LP002878,2,1,4,Graduate,1,8334,0,260,360,1,Urban,Y,0
347,LP002879,2,1,1,Graduate,1,3391,1966,133,360,0,Rural,N,0
348,LP002885,2,2,1,Not Graduate,1,2868,0,70,360,1,Urban,Y,0
349,LP002890,2,1,3,Not Graduate,1,3418,1380,135,360,1,Urban,Y,0
350,LP002891,2,1,1,Graduate,2,2500,296,137,300,1,Rural,Y,0
351,LP002899,2,1,3,Graduate,1,8667,0,254,360,1,Rural,Y,0
352,LP002901,2,2,1,Graduate,1,2283,15000,106,360,1,Rural,Y,0
353,LP002907,2,1,1,Graduate,1,5817,910,109,360,1,Urban,Y,0
354,LP002920,2,1,1,Graduate,1,5119,3769,120,360,1,Rural,Y,0
355,LP002921,2,1,4,Not Graduate,1,5316,187,158,180,0,Semiurban,N,0
356,LP002932,2,1,4,Graduate,1,7603,1213,197,360,1,Urban,Y,0
357,LP002935,2,1,2,Graduate,1,3791,1936,85,360,1,Urban,Y,0
358,LP002952,2,2,1,Graduate,1,2500,0,60,360,1,Urban,Y,0
359,LP002954,2,1,3,Not Graduate,1,3132,0,76,360,1,Rural,Y,0
360,LP002962,2,2,1,Graduate,1,4000,2667,152,360,1,Semiurban,Y,0
361,LP002965,1,1,1,Graduate,1,8550,4255,96,360,1,Urban,Y,0
362,LP002969,2,1,2,Graduate,1,2269,2167,99,360,1,Semiurban,Y,0
363,LP002971,2,1,4,Not Graduate,2,4009,1777,113,360,1,Urban,Y,0
364,LP002975,2,1,1,Graduate,1,4158,709,115,360,1,Urban,Y,0
365,LP002980,2,2,1,Graduate,1,3250,1993,126,360,1,Semiurban,Y,0
366,LP002986,2,1,1,Graduate,1,5000,2393,158,360,1,Rural,Y,0
367,LP002989,2,2,1,Graduate,2,9200,0,98,180,1,Rural,Y,0
